Country,New Cases Predict,R-squared score,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
England,0.0,1.0,0.0,0.0,0.0
Equatorial Guinea,29.0,-2.59645885496001,740.5844311840925,27.213680956167845,26.370676182857267
Eritrea,17.0,-0.5164776288982742,151.77084169765524,12.319530904123551,9.299254383424234
Estonia,549.0,0.06481744982901894,152632.11614081892,390.6816045590308,279.4858549599452
Eswatini,113.0,-0.24137539798431784,230932.69430894076,480.5545695432942,311.27205717813285
Ethiopia,835.0,-0.08419598306823328,2191153.69665035,1480.2546053467795,1032.9961229782216
Faeroe Islands,5.0,-2.744409779324035,4128.201215646515,64.2510794901262,55.14261694589563
Falkland Islands,0.0,-0.008475341037516015,1.359449693803864,1.1659544132614552,0.30192758061610514
Fiji,191.0,-37.933050040220394,43965.76146275357,209.6801408401701,171.26661862727426
Finland,417.0,-0.7809751276291894,3600281.356339629,1897.4407385580264,1295.7452110730799
France,14003.0,-0.538916952646399,2884116155.0386515,53703.96777742452,33928.31061246505
French Guiana,105.0,-0.2274218744219263,7906.320077907676,88.91749028120213,74.93156400471977
French Polynesia,101.0,-1.3846053367402975,17919.302329203445,133.86299835728857,108.22153988639063
Gabon,91.0,0.022438438127381666,54846.529899770736,234.19336006763885,128.69384400294632
Gambia,22.0,-19.250566648582392,1691.5672203293943,41.12866664905871,29.986251900272855
Georgia,1689.0,-3.7128076913653425,7733758.761504472,2780.9636390115697,2266.1487039469716
Germany,8762.0,-3.144153826572439,1455858078.8641062,38155.70833917392,33356.018060556475
Ghana,229.0,0.10246099125732944,300332.5073414954,548.0260097308296,327.65796079329516
Gibraltar,7.0,-2.0503830531670095,1820.771267087671,42.670496447635465,35.363145917756896
Greece,2135.0,-0.8073329568288885,50586903.10359503,7112.44705453721,4927.593226445682
Greenland,3.0,-0.6965838843445267,1532.6941546858675,39.14963798920582,26.7736836188397
Grenada,21.0,-14.237234617068784,1415.903954190775,37.628499228520596,29.818675823631484
Guadeloupe,166.0,-5.8951208568468845,25723.522313895173,160.38554272095467,150.81287345179507
Guam,27.0,-3.1253256965816627,925.3789580957206,30.420042046251687,26.81161186345607
Guatemala,1620.0,-17.404000408785482,2169245.4602569616,1472.8358565220233,1387.847680733849
Guernsey,6.0,-1.076829406188497,13550.616994269836,116.40711745537656,87.2408751679587
Guinea,59.0,0.16607082832672326,5334.917210023186,73.04051759142446,55.4549103876389
Guinea-Bissau,13.0,-0.4777412371093561,299.0803706583266,17.29394028723144,14.127055565224502
Guyana,102.0,-3.578722604591002,5088.05965790536,71.33063618043344,60.71275281854366
Haiti,45.0,-0.9213580914403581,1840.4008085259352,42.89989287312889,34.703711962133006
Honduras,840.0,-99.13945597151705,623961.1187740327,789.9120955992715,771.6073980664145
Hong Kong,0.0,1.0,0.0,0.0,0.0
Hungary,1816.0,-0.39619484738448985,61936868.72533954,7869.998013045463,5545.781356821239
Iceland,26.0,-0.7950520226148996,103158.24260010738,321.1825689543369,233.56626433675615
India,86180.0,-1529.1724080984457,7757861103.297739,88078.7210584812,78215.72020263417
